exbB,yfbW
yggU,yfbW
mltA,yfbW
gutQ,yfbW
mltB,yfbW
yfiO,yfbW
nlpB,yfbW
amiA,yfbW
ypdA,yfbW
ompC,yfbW
wzxC,yfbW
rfbD,yfbW
rfbC,yfbW
glf,yfbW
wbbI,yfbW
dacD,yfbW
cheA,yfbW
cheY,yfbW
lpxM,yfbW
mipA,yfbW
cedA,yfbW
ydhJ,yfbW
ddpC,yfbW
ompN,yfbW
ynaI,yfbW
fabI,yfbW
pgpB,yfbW
ompW,yfbW
kdsA,yfbW
lolB,yfbW
ispE,yfbW
ldcA,yfbW
minD,yfbW
lolD,yfbW
lolC,yfbW
csgG,yfbW
fabA,yfbW
cydC,yfbW
dacC,yfbW
mrdA,yfbW
fes,yfbW
ompT,yfbW
ybaW,yfbW
dxr,yfbW
panD,yfbW
ampD,yfbW
ftsA,yfbW
murE,yfbW
imp,yfbW
caiT,yfbW
yjiZ,ymgF
yjiO,ymgF
yjiJ,ymgF
fimC,ymgF
yjhF,ymgF
fecA,ymgF
fecC,ymgF
yjhB,ymgF
yjgQ,ymgF
yjgJ,ymgF
ytfN,ymgF
hflK,ymgF
yjeP,ymgF
frdB,ymgF
sugE,ymgF
yjdL,ymgF
yjcP,ymgF
yjcE,ymgF
yjcD,ymgF
alr,ymgF
murB,ymgF
cpxP,ymgF
yiiD,ymgF
ompL,ymgF
yihA,ymgF
ubiD,ymgF
ubiE,ymgF
wzxE,ymgF
rffA,ymgF
rffH,ymgF
bglH,ymgF
yicJ,ymgF
spoT,ymgF
ttk,ymgF
kdtA,ymgF
rfaG,ymgF
rfaS,ymgF
rfaB,ymgF
secB,ymgF
yibH,ymgF
rhsA,ymgF
yhjV,ymgF
yhjR,ymgF
mdtF,ymgF
yhiP,ymgF
yhiM,ymgF
ftsE,ymgF
ugpB,ymgF
yhgN,ymgF
mrcA,ymgF
yhfT,ymgF
yhfK,ymgF
gspK,ymgF
gspD,ymgF
gspA,ymgF
rplW,ymgF
panF,ymgF
yhcB,ymgF
yhbN,ymgF
yrbK,ymgF
ftsH,ymgF
sohA,ymgF
ygjJ,ymgF
ygjI,ymgF
plsC,ymgF
exbB,ymgF
mltC,ymgF
ansB,ymgF
ubiH,ymgF
xerD,ymgF
ygcS,ymgF
smpA,ymgF
ffh,ymgF
lepA,ymgF
iscS,ymgF
pbpC,ymgF
ispG,ymgF
yfgH,ymgF
yfeH,ymgF
emrK,ymgF
yfdI,ymgF
yfdG,ymgF
yfcY,ymgF
fabB,ymgF
yfcJ,ymgF
accD,ymgF
yfaW,ymgF
glpT,ymgF
glpQ,ymgF
napD,ymgF
bcr,ymgF
cirA,ymgF
folE,ymgF
yehB,ymgF
mdtB,ymgF
mdtA,ymgF
yegE,ymgF
wcaA,ymgF
wcaC,ymgF
wcaF,ymgF
fcl,ymgF
cpsG,ymgF
wcaL,ymgF
wcaM,ymgF
galF,ymgF
rfbB,ymgF
rfbX,ymgF
wbbH,ymgF
wbbI,ymgF
wbbK,ymgF
yeeO,ymgF
yedE,ymgF
pgsA,ymgF
motA,ymgF
motB,ymgF
cheW,ymgF
tar,ymgF
tap,ymgF
cheZ,ymgF
yebA,ymgF
lpxM,ymgF
yeaV,ymgF
yeaN,ymgF
mipA,ymgF
ydjE,ymgF
btuD,ymgF
ydiO,ymgF
mdtK,ymgF
ydhP,ymgF
ydhA,ymgF
folM,ymgF
ydgI,ymgF
mdtJ,ymgF
mdtI,ymgF
ydfJ,ymgF
ydeA,ymgF
ydeK,ymgF
yddW,ymgF
ddpB,ymgF
rhsE,ymgF
yncD,ymgF
paaJ,ymgF
paaH,ymgF
paaB,ymgF
paaA,ymgF
ycjG,ymgF
tpx,ymgF
sapB,ymgF
sapD,ymgF
oppA,ymgF
galU,ymgF
kdsA,ymgF
ispE,ymgF
lolE,ymgF
lolD,ymgF
pabC,ymgF
fabF,ymgF
acpP,ymgF
fabH,ymgF
flgJ,ymgF
flgA,ymgF
mdoH,ymgF
mdoC,ymgF
ycdS,ymgF
ymcA,ymgF
sulA,ymgF
fabA,ymgF
mukB,ymgF
ycbC,ymgF
kdsB,ymgF
lpxK,ymgF
ycaD,ymgF
lolA,ymgF
ftsK,ymgF
cydC,ymgF
ybjP,ymgF
ybjL,ymgF
ybjG,ymgF
yliI,ymgF
ybiR,ymgF
ompX,ymgF
galT,ymgF
tolQ,ymgF
cydB,ymgF
cydA,ymgF
ybgP,ymgF
ybfO,ymgF
ubiF,ymgF
rlpB,ymgF
rlpA,ymgF
crcB,ymgF
entA,ymgF
entC,ymgF
fepB,ymgF
fepG,ymgF
fepC,ymgF
fepE,ymgF
cusA,ymgF
sfmD,ymgF
sfmC,ymgF
folD,ymgF
lpxH,ymgF
ylbH,ymgF
rhsD,ymgF
kefA,ymgF
mdlA,ymgF
ppiD,ymgF
yajR,ymgF
panE,ymgF
ispA,ymgF
dxs,ymgF
pgpA,ymgF
ampH,ymgF
yaiS,ymgF
yaiP,ymgF
yahF,ymgF
yagX,ymgF
yaeF,ymgF
lpxB,ymgF
lpxA,ymgF
lpxD,ymgF
yaeT,ymgF
ispU,ymgF
fhuD,ymgF
mrcB,ymgF
htrE,ymgF
panC,ymgF
yadE,ymgF
ftsA,ymgF
murD,ymgF
murF,ymgF
ftsL,ymgF
folA,ymgF
yaaU,ymgF
ispH,ymgF
lspA,ymgF
ymgF,yeiW
ecnA,yeiW
osmY,yeiW
yjiZ,yeiW
yjiY,yeiW
yjiO,yeiW
yjhA,yeiW
yjhF,yeiW
fecA,yeiW
